"astro-ph/0412646","F. A. Chishtie","S. R. Valluri, F. A. Chishtie, A. Vajda","An analytic study of the gravitational wave pulsar signal with spin down
  effects","9 pages, added acknowledgements",,,,"astro-ph gr-qc",,"  In this work, we present the analytic treatment of the Fourier Transform (FT)
of the Gravitational Wave (GW) signal from a pulsar including spin down
"cond-mat/0412747","John Wettlaufer S.","L. Benatov, J.S. Wettlaufer","Abrupt grain boundary melting in ice","8 pages, 1 figure","Physical Review E, Vol. 70, 061606 (2004)","10.1103/PhysRevE.70.061606",,"cond-mat.soft cond-mat.mtrl-sci",,"  The effect of impurities on the grain boundary melting of ice is investigated
through an extension of Derjaguin-Landau-Verwey-Overbeek theory, in which we
include retarded potential effects in a calculation of the full frequency
dependent van der Waals and Coulombic interactions within a grain boundary. At
high dopant concentrations the classical solutal effect dominates the melting
behavior. However, depending on the amount of impurity and the surface charge
density, as temperature decreases, the attractive tail of the dispersion force
interaction begins to compete effectively with the repulsive screened Coulomb
interaction. This leads to a film-thickness/temperature curve that changes
depending on the relative strengths of these interactions and exhibits a
decrease in the film thickness with increasing impurity level. More striking is
the fact that at very large film thicknesses, the repulsive Coulomb interaction
can be effectively screened leading to an abrupt reduction to zero film
thickness.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:43:17 GMT""}]","2009-11-10"
"cond-mat/0412748","John Wettlaufer S.","J.G. Dash, J.S. Wettlaufer","Classical rotational inertia of solid helium 4","4 pages, 1 figure",,"10.1103/PhysRevLett.94.235301",,"cond-mat.stat-mech",,"  The observation of reduced rotational inertia in a cell containing solid
helium 4 has been interpreted as evidence for superfluidity of the solid. An
alternative explanation is slippage of the solid at the container wall due to
grain boundary premelting between the solid and dense adsorbed layers at the
container wall. We calculate the range of film thickness and the viscous drag,
and find that the slippage can account for the observations.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 13:39:27 GMT""}]","2009-11-10"
"cond-mat/0412749","Su-Chan Park","Su-Chan Park","Monte Carlo simulations of bosonic reaction-diffusion systems","Published","Phys. Rev. E, 72, 036111 (2005)","10.1103/PhysRevE.72.036111",,"cond-mat.stat-mech",,"  An efficient Monte Carlo simulation method for bosonic reaction-diffusion
systems which are mainly used in the renormalization group (RG) study is
proposed. Using this method, one dimensional bosonic single species
annihilation model is studied and, in turn, the results are compared with RG
calculations. The numerical data are consistent with RG predictions. As a
second application, a bosonic variant of the pair contact process with
diffusion (PCPD) is simulated and shown to share the critical behavior with the
PCPD. The invariance under the Galilean transformation of this boson model is
also checked and discussion about the invariance in conjunction with other
models are in order.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 07:52:04 GMT""},{""version"":""v2"",""created"":""Thu, 17 Mar 2005 03:20:39 GMT""},{""version"":""v3"",""created"":""Wed, 14 Sep 2005 00:06:37 GMT""}]","2007-05-23"
"cond-mat/0412750","Axel Pelster","Jens Dreger, Axel Pelster, Bodo Hamprecht","Variational Perturbation Theory for Fokker-Planck Equation with
  Nonlinear Drift","Author Information under
  http://www.theo-phys.uni-essen.de/tp/ags/pelster_dir/","European Physical Journal B 45, 355-368 (2005)","10.1140/epjb/e2005-00195-2",,"cond-mat.stat-mech",,"  We develop a recursive method for perturbative solutions of the Fokker-Planck
equation with nonlinear drift. The series expansion of the time-dependent
probability density in terms of powers of the coupling constant is obtained by
solving a set of first-order linear ordinary differential equations. Resumming
the series in the spirit of variational perturbation theory we are able to
determine the probability density for all values of the coupling constant.
Comparison with numerical results shows exponential convergence with increasing
order.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:16:34 GMT""}]","2009-12-06"
"cond-mat/0412751","Carlos Escudero","Carlos Escudero","Field Theory of Propagating Reaction-Diffusion Fronts",,,"10.1103/PhysRevE.70.041102",,"cond-mat.stat-mech cond-mat.soft",,"  The problem of velocity selection of reaction-diffusion fronts has been
widely investigated. While the mean field limit results are well known
theoretically, there is a lack of analytic progress in those cases in which
fluctuations are to be taken into account. Here, we construct an analytic
theory connecting the first principles of the reaction-diffusion process to an
effective equation of motion via field-theoretic arguments, and we arrive at
the results already confirmed by numerical simulations.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:58:54 GMT""}]","2009-11-10"
"cond-mat/0412752","Hyunsuk Hong","H. Hong","Enhancement of Coherent Response by Quenched Disorder","4 pages, 3 figures, to appear in Phys. Rev. E",,"10.1103/PhysRevE.71.021102",,"cond-mat.stat-mech",,"  We investigate the effects of quenched disorder on the coherent response in a
driven system of coupled oscillators. In particular, the interplay between
quenched noise and periodic driving is explored, with particular attention to
the possibility of resonance. The phase velocity is examined as the response of
the system; revealed is the enhancement of the fraction of oscillators locked
to the periodic driving, displaying resonance behavior. It is thus concluded
that resonance behavior may also be induced by quenched disorder which does not
have time-dependent correlations.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 12:00:32 GMT""}]","2009-11-10"
"cond-mat/0412753","Youguo Shi","J.Q. Li, H.X. Yang, R.J. Xiao, Y.G. Shi and H.R Zhang","Electron energy loss spectra of Na0.33CoO2.yH2O (y = 0, 0.6 and 1.3)","19 pages, 5 figures",,,,"cond-mat.supr-con cond-mat.str-el",,"  Electron energy loss (EEL) spectra have been obtained on materials with the
nominal compositions of Na0.33CoO2_yH2O (y = 0, 0.6 and 1.3). Spectral analyses
revealed systematic changes in the low-loss energy region (< 10eV) and the core
losses(O-K, Co-L3,2) along with the water intercalation. The inter (intra)-band
transitions and the relevant plasmon resonance were found to be sensitive to
water content. Variations of the electronic structure and the Co valence states
during hydration have been discussed based on our experimental results.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:41:36 GMT""}]","2007-05-23"
"cond-mat/0412754","Krzysztof Urbanowicz","Krzysztof Urbanowicz and Janusz A. Holyst","Investment strategy due to the minimization of portfolio noise level by
  observations of coarse-grained entropy","6 pages, 1 figure, 1 table, Proceedings of the conference APFA4. See
  http://www.chaosandnoise.org","Physica A 344, 284-288 (2004)","10.1016/j.physa.2004.06.133",,"cond-mat.stat-mech q-fin.ST",,"  Using a recently developed method of noise level estimation that makes use of
properties of the coarse grained-entropy we have analyzed the noise level for
the Dow Jones index and a few stocks from the New York Stock Exchange. We have
found that the noise level ranges from 40 to 80 percent of the signal variance.
The condition of a minimal noise level has been applied to construct optimal
portfolios from selected shares. We show that implementation of a corresponding
threshold investment strategy leads to positive returns for historical data.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 14:18:17 GMT""}]","2009-11-10"
"cs/0412115","Bernadette Charron-Bost","Bernadette Charron-Bost","Reductions in Distributed Computing Part I: Consensus and Atomic
  Commitment Tasks","27 pages, 3 figures",,,,"cs.DC",,"  We introduce several notions of reduction in distributed computing, and
investigate reduction properties of two fundamental agreement tasks, namely
Consensus and Atomic Commitment.
  We first propose the notion of reduction ""a la Karp'', an analog for
distributed computing of the classical Karp reduction. We then define a weaker
reduction which is the analog of Cook reduction. These two reductions are
called K-reduction and C-reduction, respectively.
  We also introduce the notion of C*-reduction which has no counterpart in
classical (namely, non distributed) systems, and which naturally arises when
dealing with symmetric tasks.
  We establish various reducibility and irreducibility theorems with respect to
these three reductions. Our main result is an incomparability statement for
Consensus and Atomic Commitment tasks: we show that they are incomparable with
respect to the C-reduction, except when the resiliency degree is 1, in which
case Atomic Commitment is strictly harder than Consensus. A side consequence of
these results is that our notion of C-reduction is strictly weaker than the one
of K-reduction, even for unsolvable tasks.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 19:50:21 GMT""}]","2007-05-23"
"cs/0412116","Bernadette Charron-Bost","Bernadette Charron-Bost","Reductions in Distributed Computing Part II: k-Threshold Agreement Tasks","27 pages, 4 figures",,,,"cs.DC",,"  We extend the results of Part I by considering a new class of agreement
tasks, the so-called k-Threshold Agreement tasks (previously introduced by
Charron-Bost and Le Fessant). These tasks naturally interpolate between Atomic
Commitment and Consensus. Moreover, they constitute a valuable tool to derive
irreducibility results between Consensus tasks only. In particular, they allow
us to show that (A) for a fixed set of processes, the higher the resiliency
degree is, the harder the Consensus task is, and (B) for a fixed resiliency
degree, the smaller the set of processes is, the harder the Consensus task is.
  The proofs of these results lead us to consider new oracle-based reductions,
involving a weaker variant of the C-reduction introduced in Part I. We also
discuss the relationship between our results and previous ones relating
f-resiliency and wait-freedom.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:51:58 GMT""}]","2007-05-23"
"cs/0412117","Pierre Andrews","Pierre Andrews and Martin Rajman","Thematic Annotation: extracting concepts out of documents","Technical report EPFL/LIA. 81 pages, 16 figures",,,"IC/2004/68","cs.CL",,"  Contrarily to standard approaches to topic annotation, the technique used in
this work does not centrally rely on some sort of -- possibly statistical --
keyword extraction. In fact, the proposed annotation algorithm uses a large
scale semantic database -- the EDR Electronic Dictionary -- that provides a
concept hierarchy based on hyponym and hypernym relations. This concept
hierarchy is used to generate a synthetic representation of the document by
aggregating the words present in topically homogeneous document segments into a
set of concepts best preserving the document's content.
  This new extraction technique uses an unexplored approach to topic selection.
Instead of using semantic similarity measures based on a semantic resource, the
later is processed to extract the part of the conceptual hierarchy relevant to
the document content. Then this conceptual hierarchy is searched to extract the
most relevant set of concepts to represent the topics discussed in the
document. Notice that this algorithm is able to extract generic concepts that
are not directly present in the document.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 02:01:45 GMT""}]","2007-05-23"
"cs/0412118","Chiranjeeb Buragohain","Chiranjeeb Buragohain, Divyakant Agrawal, Subhash Suri","Power Aware Routing for Sensor Databases",,"Proceedings of IEEE INFOCOM 2005, March 13-17, 2005 Miami","10.1109/INFCOM.2005.1498455",,"cs.NI cs.DC",,"  Wireless sensor networks offer the potential to span and monitor large
geographical areas inexpensively. Sensor network databases like TinyDB are the
dominant architectures to extract and manage data in such networks. Since
sensors have significant power constraints (battery life), and high
communication costs, design of energy efficient communication algorithms is of
great importance. The data flow in a sensor database is very different from
data flow in an ordinary network and poses novel challenges in designing
efficient routing algorithms. In this work we explore the problem of energy
efficient routing for various different types of database queries and show that
in general, this problem is NP-complete. We give a constant factor
approximation algorithm for one class of query, and for other queries give
heuristic algorithms. We evaluate the efficiency of the proposed algorithms by
simulation and demonstrate their near optimal performance for various network
sizes.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 02:02:35 GMT""}]","2016-11-17"
"gr-qc/0412126","Hyerim Noh","J. Hwang and H. Noh","Classical evolution and quantum generation in generalized gravity
  theories including string corrections and tachyon: Unified analyses","24 pages, no figure","Phys.Rev. D71 (2005) 063536","10.1103/PhysRevD.71.063536",,"gr-qc astro-ph hep-th",,"  We present cosmological perturbation theory based on generalized gravity
theories including string theory correction terms and a tachyonic complication.
The classical evolution as well as the quantum generation processes in these
variety of gravity theories are presented in unified forms. These apply both to
the scalar- and tensor-type perturbations. Analyses are made based on the
curvature variable in two different gauge conditions often used in the
literature in Einstein's gravity; these are the curvature variables in the
comoving (or uniform-field) gauge and the zero-shear gauge. Applications to
generalized slow-roll inflations and its consequent power spectra are derived
in unified forms which include wide range of inflationary scenarios based on
Einstein's gravity and others.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 03:26:37 GMT""}]","2009-11-10"
"gr-qc/0412127","Hyerim Noh","H. Noh and J. Hwang","Relativistic-Newtonian correspondence of the zero-pressure but weakly
  nonlinear cosmology","5 pages, no figure","Class.Quant.Grav. 22 (2005) 3181-3188","10.1088/0264-9381/22/16/004",,"gr-qc astro-ph",,"  It is well known that couplings occur among the scalar-, vector-, and
tensor-type perturbations of Friedmann world model in the second perturbational
order. Here, we prove that, except for the gravitational wave contribution, the
relativistic zero-pressure irrotational fluid perturbed to second order in a
flat Friedmann background coincides exactly with the Newtonian result. Since we
include the cosmological constant, our results are relevant to currently
favoured cosmology. As we prove that the Newtonian hydrodynamic equations are
valid in all cosmological scales to the second order, our result has an
important practical implication that one can now use the large-scale Newtonian
numerical simulation more reliably even as the simulation scale approaches and
even goes beyond the horizon. That is, our discovery shows that, in the
zero-pressure case, except for the gravitational wave contribution, there are
no relativistic correction terms even near and beyond the horizon to the
second-order perturbation.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 03:35:15 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jun 2005 07:16:03 GMT""},{""version"":""v3"",""created"":""Thu, 7 Jul 2005 07:13:08 GMT""}]","2009-11-10"
"gr-qc/0412128","Hyerim Noh","J. Hwang and H. Noh","Second order perturbations of a zero-pressure cosmological medium:
  Proofs of the relativistic-Newtonian correspondence","10 pages, no figure","Phys.Rev. D72 (2005) 044011","10.1103/PhysRevD.72.044011",,"gr-qc astro-ph",,"  The dynamic world model and its linear perturbations were first studied in
Einstein's gravity. In the system without pressure the relativistic equations
coincide exactly with the later known ones in Newton's gravity. Here we prove
that, except for the gravitational wave contribution, even to the second-order
perturbations, equations for the relativistic irrotational zero-pressure fluid
in a flat Friedmann background coincide exactly with the previously known
Newtonian equations. Thus, to the second order, we correctly identify the
relativistic density and velocity perturbation variables, and we expand the
range of applicability of the Newtonian medium without pressure to all
cosmological scales including the super-horizon scale. In the relativistic
analyses, however, we do not have a relativistic variable which corresponds to
the Newtonian potential to the second order. Mixed usage of different gauge
conditions is useful to make such proofs and to examine the result with
perspective. We also present the gravitational wave equation to the second
order. Since our correspondence includes the cosmological constant, our results
are relevant to currently favoured cosmology. Our result has an important
practical implication that one can use the large-scale Newtonian numerical
simulation more reliably even as the simulation scale approaches near horizon.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 03:43:32 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jun 2005 07:11:12 GMT""},{""version"":""v3"",""created"":""Thu, 7 Jul 2005 07:19:32 GMT""}]","2009-11-10"
"gr-qc/0412129","Hyerim Noh","J. Hwang and H. Noh","Third order perturbations of a zero-pressure cosmological medium: Pure
  general relativistic nonlinear effects","9 pages, no figure","Phys.Rev. D72 (2005) 044012","10.1103/PhysRevD.72.044012",,"gr-qc astro-ph",,"  We consider a general relativistic zero-pressure irrotational cosmological
medium perturbed to the third order. We assume a flat Friedmann background but
include the cosmological constant. We ignore the rotational perturbation which
decays in expanding phase. In our previous studies we discovered that, to the
second-order perturbation, except for the gravitational wave contributions, the
relativistic equations coincide exactly with the previously known Newtonian
ones. Since the Newtonian second-order equations are fully nonlinear, any
nonvanishing third and higher order terms in the relativistic analyses are
supposed to be pure relativistic corrections. In this work we derive such
correction terms appearing in the third order. Continuing our success in the
second-order perturbations we take the comoving gauge. We discover that the
third-order correction terms are of $\phi_v$-order higher than the second-order
terms where $\phi_v$ is a gauge-invariant combination related to the
three-space curvature perturbation in the comoving gauge; compared with the
Newtonian potential we have $\delta \Phi \sim {3 \over 5} \phi_v$ to the linear
order. Therefore, the pure general relativistic effects are of $varphi_v$-order
higher than the Newtonian ones. The corrections terms are independent of the
horizon scale and depend only on the linear order gravitational potential
perturbation strength. From the temperature anisotropy of cosmic microwave
background we have ${\delta T \over T} \sim {1 \over 3} \delta \Phi \sim {1
\over 5} \phi_v \sim 10^{-5}$. Therefore, our present result reinforces our
previous important practical implication that near current era one can use the
large-scale Newtonian numerical simulation more reliably even as the simulation
scale approaches near the horizon.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 03:58:33 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jun 2005 07:04:05 GMT""},{""version"":""v3"",""created"":""Thu, 7 Jul 2005 07:41:35 GMT""},{""version"":""v4"",""created"":""Fri, 28 Oct 2005 07:12:10 GMT""}]","2009-11-10"
"gr-qc/0412131","Plamen Fiziev","Plamen Fiziev","The Gravitational Field of Massive Non-Charged Point Source in General
  Relativity","12 pages, latex file, no figures","in Proceedings of the Conference Contemporary Aspects of
  Astronomy, Theoretical and Gravitational Physics, May 20-22, 2004, Sofia,
  Bulgaria",,"SU-TH-22-04","gr-qc",,"  Utilizing various gauges of the radial coordinate we give a description of
static spherically symmetric space-times with point singularity at the center
and vacuum outside the singularity. We show that in general relativity (GR)
there exist a two-parameters family of such solutions to the Einstein equations
which are physically distinguishable but only some of them describe the
gravitational field of a single massive point particle with nonzero bare mass
$M_0$. In particular, the widespread Hilbert's form of Schwarzschild solution,
which depends only on the Keplerian mass $M<M_0$, does not solve the Einstein
equations with a massive point particle's stress-energy tensor as a source.
Novel normal coordinates for the field and a new physical class of gauges are
proposed, in this way achieving a correct description of a point mass source in
GR. We also introduce a gravitational mass defect of a point particle and
determine the dependence of the solutions on this mass defect. The result can
be described as a change of the Newton potential $\phi_{{}_N}=-G_{{}_N}M/r$ to
a modified one: $\phi_{{}_G}=-G_{{}_N}M/ (r+G_{{}_N} M/c^2\ln{{M_0}\over M})$
and a corresponding modification of the four-interval. In addition we give
invariant characteristics of the physically and geometrically different classes
of spherically symmetric static space-times created by one point mass. These
space-times are analytic manifolds with a definite singularity at the place of
the matter particle.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 12:22:45 GMT""}]","2007-05-23"
"gr-qc/0412133","Mohammad Nouri-Zonoz","N. Ahmadi and M. Nouri-Zonoz","Massive spinor fields in flat spacetimes with non-trivial topology","18 pages, Some of the equations in section VI as well as
  typographical errors corrected, 5 figures, Revtex4","Phys.Rev.D71:104012,2005","10.1103/PhysRevD.71.104012","IPM/P - 2004/080","gr-qc",,"  The vacuum expectation value of the stress-energy tensor is calculated for
spin $1\over 2$ massive fields in several multiply connected flat spacetimes.
We examine the physical effects of topology on manifolds such as $R^3 \times
S^1$, $R^2\times T^2$, $R^1 \times T^3$, the Mobius strip and the Klein bottle.
We find that the spinor vacuum stress tensor has the opposite sign to, and
twice the magnitude of, the scalar tensor in orientable manifolds. Extending
the above considerations to the case of Misner spacetime, we calculate the
vacuum expectation value of spinor stress-energy tensor in this space and
discuss its implications for the chronology protection conjecture.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 14:15:05 GMT""},{""version"":""v2"",""created"":""Mon, 30 May 2005 14:31:13 GMT""}]","2011-07-19"
"gr-qc/0412134","M. Blagojevic","M. Blagojevic and B. Cvetkovic","Canonical structure of 3D gravity with torsion","LaTeX, 21 pages","Trends in GR and QC, vol. 2, ed. Ch. Benton (Nova Science, NY,
  2006) 103-123",,,"gr-qc hep-th",,"  We study the canonical structure of the topological 3D gravity with torsion,
assuming the anti-de Sitter asymptotic conditions. It is shown that the Poisson
bracket algebra of the canonical generators has the form of two independent
Virasoro algebras with classical central charges. In contrast to the case of
general relativity with a cosmological constant, the values of the central
charges are different from each other.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 14:36:23 GMT""}]","2007-05-23"
"gr-qc/0412135","John Barrow","Douglas J. Shaw and John D. Barrow","Varying Couplings in Electroweak Theory","10 pages, no figures","Phys.Rev. D71 (2005) 063525","10.1103/PhysRevD.71.063525",,"gr-qc astro-ph hep-th",,"  We extend the theory of Kimberly and Magueijo for the spacetime variation of
the electroweak couplings in the unified Glashow-Salam-Weinberg model of the
electroweak interaction to include quantum corrections. We derive the effective
quantum-corrected dilaton evolution equations in the presence of a background
cosmological matter density that is composed of weakly interacting and
non-weakly-interacting non-relativistic dark-matter components.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 15:39:21 GMT""}]","2009-11-10"
"hep-ex/0412075","Luis Breva","Luis Breva-Newell","Decays of the Upsilon(1S) into a Photon and Two Charged Hadrons","100+ pages, 50+ figures. University of Florida thesis. Uses
  everysel.sty, ragged2e.sty, sectsty.sty, and ufthesis.cls",,,"UF-IHEPA 04-01","hep-ex",,"  Using the CLEO III detector we report on a new study of exclusive radiative
Upsilon(1S) decays into the final states gamma pi^+ pi^-, gamma K^+ K^- and
gamma p anti-p. We present branching ratios for the decay modes Upsilon(1S) to
gamma f_2(1270), Upsilon(1S) to gamma f_2'(1525), and Upsilon(1S) to gamma
f_0(1710) with f_0(1710) to K^+ K^-.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 18:53:42 GMT""}]","2007-05-23"
"hep-ex/0412077","Alex R. Dzierba","A. R. Dzierba (1), C. A. Meyer (2) and A. P. Szczepaniak (3) ((1)
  Indiana University, (2) Carnegie Mellon University, (3) Nuclear Theory Center
  - Indiana University)","Reviewing the Evidence for Pentaquarks","Talk presented by A. R. Dzierba at the First Meeting of the APS
  Topical Group on Hadronic Physics, October, 2004","J.Phys.Conf.Ser. 9 (2005) 192-204","10.1088/1742-6596/9/1/036",,"hep-ex",,"  Several experimental groups have reported evidence for baryons with flavor
exotic quantum numbers that cannot be explained as $qqq$ bound states but
require a minimum of five quarks -- $qqqq \bar q$. These pentaquark states
include the $\theta^{+}$, the $\Xi^{--}$ and the $\theta_{c}$. The reported
widths of these new states are consistent with experimental resolution and may
be as narrow as a few MeV/$c^2$ or less. Prior to 2003, experimental searches
for flavor exotic baryons spanning several decades yielded negative results.
There have also been a number of searches carried out since the reports of
these new pentaquark states that do not confirm their existence. This review of
both the positive and negative reports seeks to understand the current
situation regarding the experimental evidence for pentaquarks.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 18:57:31 GMT""}]","2009-11-10"
"hep-lat/0412044","Masataka Okamoto","Masataka Okamoto","Full CKM matrix with lattice QCD","7 pages, 2 figures. Based on an invited talk given at FPCP04
  conference in Daegu (Korea). Additional result/analysis included to complete
  the full CKM matrix",,,,"hep-lat hep-ph",,"  We show that it is now possible to fully determine the CKM matrix, for the
first time, using lattice QCD. |V_{cd}|, |V_{cs}|, |V_{ub}|, |V_{cb}| and
|V_{us}| are, respectively, directly determined with our lattice results for
form factors of semileptonic D->pi l nu, D->K l nu, B->pi l nu, B->D l nu, and
K->pi l nu decays. The error from the quenched approximation is removed by
using the MILC unquenched lattice gauge configurations, where the effect of u,d
and s quarks is included. The error from the ``chiral'' extrapolation
(m_l->m_{ud}) is greatly reduced by using improved staggered quarks. The
accuracy is comparable to that of the Particle Data Group averages. In
addition, |V_{ud}|, |V_{tb}|, |V_{ts}| and |V_{td}| are determined by using
unitarity of the CKM matrix and the experimental result for sin{(2beta)}. In
this way, we obtain all 9 CKM matrix elements, where the only theoretical input
is lattice QCD. We also obtain all the Wolfenstein parameters, for the first
time, using lattice QCD.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:22:11 GMT""}]","2007-05-23"
"hep-ph/0412409","Boris Blankleider","A. N. Kvinikhidze and B. Blankleider","Generalized parton distributions for dynamical equation models","23 pages, 9 figures, revtex4, feynmf","Nucl.Phys.A784:259-281,2007","10.1016/j.nuclphysa.2006.11.161",,"hep-ph nucl-th",,"  We show how generalized parton distributions (GPDs) can be determined in the
case where hadrons are described in terms of their partonic degrees of freedom
through solutions of dynamical equations. We demonstrate our approach on the
example of two-quark bound states described by the Bethe-Salpeter equation, and
three-quark bound states described by three- and four-dimensional Faddeev-like
equations. Within the model of strong interactions defined by the dynamical
equations, all possible mechanisms contributing to the GPDs are taken into
account, and all GPD sum rules are satisfied automatically. The formulation is
general and can be applied to determine generalized quark distributions,
generalized gluon distributions, transition GPDs, nucleon distributions in
nuclei, etc. Our approach is based on the gauging of equations method.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 17:27:48 GMT""}]","2008-11-26"
"hep-ph/0412410","Serguey Petcov","S. T. Petcov","Towards Complete Neutrino Mixing Matrix and CP-Violation","Somewhat extended version (including additional comments, references
  and figure) of the invited plenary talk given at the XXIst International
  Conference on Neutrino Physics and Astrophysics, June 14-19, 2004, Paris,
  France; 10 pages, 4 figures",,"10.1016/j.nuclphysbps.2005.01.101","Ref. SISSA 84/2004/EP","hep-ph",,"  The compelling experimental evidences for oscillations of solar, atmospheric
and reactor neutrinos imply the existence of 3-neutrino mixing in vacuum. We
review the phenomenology of 3-neutrino mixing, and the current data on the
3-neutrino mixing parameters. The opened questions and the main goals of future
research in the field of neutrino mixing and oscillations are outlined. A
phenomenological approach for understanding the pattern of neutrino mixing as
an interplay between the mixing, arising from the charged lepton sector, and
bimaximal mixing, arising from a neutrino Majorana mass matrix, is considered
with emphasis on the CP-violating case. We comment also on planned future steps
in the experimental studies of neutrino mixing.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 17:34:29 GMT""}]","2009-11-10"
"hep-ph/0412411","Sreerup Raychaudhuri","Debajyoti Choudhury, Santosh Kumar Rai, Sreerup Raychaudhuri","Tagging Sneutrino Resonances at a Linear Collider with Associated
  Photons","25 pages, LaTeX, figures embedded, references added","Phys.Rev. D71 (2005) 095009","10.1103/PhysRevD.71.095009",,"hep-ph",,"  Sneutrino resonances at a high energy linear e+e- collider may be one of the
clearest signals of supersymmetry without R-parity, especially when the
R-parity-violating coupling is too small to produce observable excesses in
four-fermion processes. However, there is no guarantee that the sneutrino pole
will lie anywhere near the machine energy. We show that associated photon
production induces the necessary energy spread, and that the resonance then
leaves a clear imprint in the photon spectrum. It follows that tagging of a
hard mono-energetic photon for a variety of possible final states provides a
realistic method of separating sneutrino resonance signals from the Standard
Model backgrounds.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:36:27 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jan 2005 14:11:56 GMT""}]","2016-09-06"
"hep-ph/0412412","Mary Hall Reno","M. H. Reno (Iowa)","Neutrino cross sections at HERA and beyond","5 pages, 4 figures, to appear in the Proceedings of the XIII
  International Symposium on Very High Energy Cosmic Ray Interactions, 6-12
  September 2004, Pylos, Greece","Nucl.Phys.Proc.Suppl.151:255-259,2006","10.1016/j.nuclphysbps.2005.07.063",,"hep-ph",,"  The ultrahigh energy neutrino cross section is reviewed. Experimental results
from HERA electron-proton and positron-proton scattering have yielded new
information about the small x behavior of the parton distribution functions. We
compare pre-HERA era neutrino-nucleon cross sections with more recent
evaluations.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:58:29 GMT""}]","2008-11-26"
"hep-ph/0412413","Mary Hall Reno","M. H. Reno (Iowa)","Deep inelastic neutrino interactions","6 pages, to appear in the Proceedings of the 8th Workshop on
  Nonperturbative QCD, 7-11 June 2004, Paris, France","Int.J.Mod.Phys. A20 (2005) 4664-4669","10.1142/S0217751X05028351","UIOWA-HE-041201","hep-ph",,"  Next-to-leading order QCD corrections, order 1 GeV mass corrections and the
role of a strangeness asymmetry and isospin violation in the x dependence of
the parton distribution functions are evaluated in the context of the
neutrino-nucleon cross section. Their contributions to evaluations of the weak
mixing angle using the Paschos-Wolfenstein relation are discussed.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:54:27 GMT""}]","2009-11-10"
"hep-ph/0412414","Benjamin Grinstein","Benjamin Grinstein","CKM Sides: Theory","Talk presented at FPCP04, submitted as proceedings; 10 pages, 4
  figures",,,"UCSD/PTH 04-23","hep-ph",,"  We review the theory of the determination of the CKM elements Vcb and Vub.
Particular attention is paid to the determination of Vcb through inclusive
semileptonic B decays to charm using a moment analysis, since this has shown
most progress recently. A precise method for the determination of Vub via
exclusive decays is described.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:54:48 GMT""}]","2007-05-23"
"hep-ph/0412415","Benjamin Grinstein","Benjamin Grinstein","Conference Summary","Conference Summary at FPCP04, submitted for proceedings; 14 pages, 7
  figures",,,"UCSD/PTH 04-24","hep-ph",,"  Conference Summary at FPCP04
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:55:11 GMT""}]","2007-05-23"
